1434,ＪＥＳＣＯホールディングス,東２,建設・資材 
1435,ＴＡＴＥＲＵ,東１,建設・資材 
1436,フィット,M,建設・資材 
1439,安江工務店,ＪＱ.S,建設・資材 
1440,やまぜんホームズ,PRO Market,建設・資材 
1443,技研ホールディングス,東２,建設・資材 
1445,ひかりホールディングス,PRO Market,建設・資材 
1446,キャンディル,東１,建設・資材 
1447,ＩＴｂｏｏｋホールディングス,M,建設・資材 
1448,スペースバリューホールディングス,東１,建設・資材 
1450,田中建設工業,ＪＱ.S,建設・資材 
1451,ＫＨＣ,東２,建設・資材 
1452,横浜ライト工業,PRO Market,建設・資材 
1456,ダイワ上場投信－日経平均インバース・インデックス,ETF,-
1457,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数,ETF,-
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF,-
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF,-
1460,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０上場投信,ETF,-
1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス,ETF,-
1465,ダイワ上場投信－ＪＰＸ日経４００インバース・インデックス,ETF,-
1466,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス,ETF,-
1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,ETF,-
1468,ＪＰＸ日経４００ベア上場投信（インバース）,ETF,-
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF,-
1470,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信,ETF,-
1471,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信,ETF,-
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF,-
1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF,-
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF,-
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF,-
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF,-
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF,-
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF,-
1479,ダイワ上場投信－ＭＳＣＩ日本株人材設備投資指数,ETF,-
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF,-
1481,上場インデックスファンド日本経済貢献株,ETF,-
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF,-
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF,-
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF,-
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF,-
1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF,-
1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF,-
1488,ダイワ上場投信－東証ＲＥＩＴ指数,ETF,-
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF,-
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF,-
1491,中外鉱業,東２,鉄鋼・非鉄 
1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,ETF,-
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF,-
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF,-
1495,上場インデックスファンドアジアリート,ETF,-
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF,-
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF,-
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF,-
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF,-
1514,住石ホールディングス,東１,エネルギー資源 
1515,日鉄鉱業,東１,エネルギー資源 
1518,三井松島ホールディングス,東１,エネルギー資源 
1540,純金上場信託（現物国内保管型）,ETF,-
1541,純プラチナ上場信託（現物国内保管型）,ETF,-
1542,純銀上場信託（現物国内保管型）,ETF,-
1543,純パラジウム上場信託（現物国内保管型）,ETF,-
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００連動型上場投信,ETF,-
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信,ETF,-
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF,-
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF,-
1551,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信,ETF,-
1552,国際のＥＴＦ　ＶＩＸ短期先物指数,ETF,-
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF,-
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,ETF,-
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ETF,-
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF,-
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF,-
1563,マザーズ・コア上場投信,ETF,-
1566,上場インデックスファンド新興国債券,ETF,-
1567,ＭＡＸＩＳトピックスリスクコントロール（５％）上場投信,ETF,-
1568,ＴＯＰＩＸブル２倍上場投信,ETF,-
1569,ＴＯＰＩＸベア上場投信,ETF,-
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF,-
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF,-
1572,中国Ｈ株ブル２倍上場投信,ETF,-
1573,中国Ｈ株ベア上場投信,ETF,-
1574,ＭＡＸＩＳトピックスリスクコントロール（１０％）上場投信,ETF,-
1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ－ＪＤＲ,ETF,-
1576,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ,ETF,-
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF,-
1578,上場インデックスファンド日経２２５（ミニ）,ETF,-
1579,日経平均ブル２倍上場投信,ETF,-
1580,日経平均ベア上場投信,ETF,-
1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］,ETF,-
1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF,-
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF,-
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF,-
1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF,-
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF,-
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF,-
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF,-
1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF,-
1598,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメンタル・インデックス上場投信,ETF,-
1599,ダイワ上場投信－ＪＰＸ日経４００,ETF,-
1605,国際石油開発帝石,東１,エネルギー資源 
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF,-
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ETF,-
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ETF,-
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ETF,-
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ETF,-
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ETF,-
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,ETF,-
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,ETF,-
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ETF,-
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,ETF,-
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,ETF,-
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,ETF,-
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,ETF,-
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,ETF,-
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ETF,-
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ETF,-
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF,-
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF,-
1651,ダイワ上場投信－ＴＯＰＩＸ高配当４０指数,ETF,-
1652,ダイワ上場投信－ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF,-
1653,ダイワ上場投信－ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF,-
1654,ダイワ上場投信－ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF,-
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF,-
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ETF,-
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ,ETF,-
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF,-
1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF,-
1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF,-
1662,石油資源開発,東１,エネルギー資源 
1663,Ｋ＆Ｏエナジーグループ,東１,エネルギー資源 
1670,ＭＡＸＩＳ　Ｓ＆Ｐ三菱系企業群上場投信,ETF,-
1671,ＷＴＩ原油価格連動型上場投信,ETF,-
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF,-
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF,-
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF,-
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF,-
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF,-
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF,-
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動型上場投信,ETF,-
